region,office,revenue,segment
10,100,1361983.5,2
10,100,1907284.8,3
10,100,351893.5,0
10,100,1929972.4,3
10,100,1669941.2,3
10,100,700975.3,1
10,100,344937.9,0
10,100,1725723.6,3
10,100,1354276.9,2
10,100,643197.6,1
10,100,840496.6,1
10,100,378561.1,0
10,100,1426206.3,2
10,100,248298.9,0
10,100,1447539.4,2
10,100,829843.1,1
10,100,1281114.4,2
10,100,311389.6,0
10,100,980760.0,1
10,100,76712.0,0
10,100,185236.1,0
10,100,245080.5,0
10,100,774587.7,1
10,100,1723516.6,3
10,100,200916.1,0
10,100,1376290.9,2
10,100,551465.9,1
10,100,645963.4,1
10,100,879861.3,1
10,100,1712090.4,3
10,100,62120.0,0
10,100,1484294.6,2
10,100,1137183.2,2
10,100,1152354.1,2
10,100,1093938.0,2
10,100,947790.4,1
10,100,1619347.6,3
10,100,1977247.2,3
10,100,1652844.4,3
10,100,1226285.3,2
10,100,1185351.3,2
10,100,637720.5,1
10,100,356503.6,0
10,100,710405.5,1
10,100,1241947.2,2
10,100,1249511.2,2
10,100,934386.2,1
10,100,281404.2,0
10,100,1483410.2,2
10,100,322217.2,0
10,100,972368.3,1
10,100,1818578.1,3
10,100,1262382.0,2
10,100,582447.9,1
10,100,1090350.8,2
10,100,532863.9,1
10,100,739647.1,1
10,100,619068.5,1
10,100,1350351.8,2
10,100,559384.1,1
10,100,149906.6,0
10,100,658979.0,1
10,100,810452.6,1
10,100,982517.5,1
10,100,319421.3,0
10,100,963636.6,1
10,100,578435.5,1
10,100,1902465.6,3
10,100,197693.7,0
10,100,1905744.9,3
10,100,1184593.0,2
10,100,820711.2,1
10,100,1902754.3,3
10,100,760985.7,1
10,100,42585.6,0
10,100,1281469.4,2
10,100,546238.6,1
10,100,1946311.1,3
10,100,821902.5,1
10,100,446067.7,0
10,100,1824988.9,3
10,100,1830739.2,3
10,100,692515.0,1
10,100,851274.3,1
10,100,307536.9,0
10,100,1032341.5,2
10,100,849389.8,1
10,100,812162.6,1
10,100,201036.3,0
10,100,1845330.1,3
10,100,1384469.2,2
10,100,1412551.7,2
10,100,1847833.8,3
10,100,1705400.5,3
10,100,1511860.3,3
10,100,1332808.8,2
10,100,1508685.3,3
10,100,1237900.5,2
10,100,1350950.2,2
10,100,1834279.8,3
10,100,1947844.8,3
10,100,1895334.1,3
10,100,1494744.2,2
10,100,1460260.3,2
10,100,207007.4,0
10,100,603845.9,1
10,100,757664.2,1
10,100,995318.6,1
10,100,1529492.3,3
10,100,981800.2,1
10,100,83164.0,0
10,100,1121329.0,2
10,100,1910185.9,3
10,100,893563.2,1
10,100,1189278.0,2
10,100,1804333.0,3
10,100,82897.8,0
10,100,706299.5,1
10,100,625265.0,1
10,100,1970404.2,3
10,100,1890586.5,3
10,100,1127073.7,2
10,100,943931.6,1
10,100,497173.4,0
10,100,385093.2,0
10,100,1262040.8,2
10,100,1628249.9,3
10,100,1452065.3,2
10,100,1290077.6,2
10,100,1224717.2,2
10,100,1683182.2,3
10,100,1269232.0,2
10,100,467330.7,0
10,100,645697.1,1
10,100,578938.3,1
10,100,155366.2,0
10,100,908155.3,1
10,100,1305278.9,2
10,100,627277.3,1
10,100,1565300.4,3
10,100,1532252.4,3
10,100,1989998.2,3
10,100,121779.6,0
10,100,1477661.2,2
10,100,536070.7,1
10,100,1221799.4,2
10,100,263160.3,0
10,100,1442395.5,2
10,100,1881057.9,3
10,100,726061.7,1
10,100,749548.5,1
10,100,551282.1,1
10,100,86221.4,0
10,100,419456.3,0
10,100,1993585.9,3
10,100,1757901.4,3
10,100,355288.2,0
10,100,1995491.9,3
10,100,240998.5,0
10,100,1970600.9,3
10,100,901694.6,1
10,100,1055921.8,2
10,100,747910.4,1
10,100,292214.3,0
10,100,246471.2,0
10,100,1754812.5,3
10,100,1612116.9,3
10,100,99328.9,0
10,100,1540626.2,3
10,100,746044.5,1
10,100,1023543.2,2
10,100,1100602.4,2
10,100,1963912.7,3
10,100,1859530.3,3
10,100,1357375.9,2
10,100,379581.7,0
10,100,241195.4,0
10,100,1969341.8,3
10,100,1534989.5,3
10,100,1291236.8,2
10,100,346880.6,0
10,100,903769.1,1
10,100,378233.6,0
10,100,1000200.8,2
10,100,643604.9,1
10,100,790430.6,1
10,100,605588.0,1
10,100,77948.1,0
10,100,1302214.9,2
10,100,334613.4,0
10,100,1177915.6,2
10,100,1077080.0,2
10,100,915161.5,1
10,100,1854746.9,3
10,100,393808.1,0
10,100,1004350.6,2
10,100,574165.0,1
10,100,323195.5,0
10,100,239824.4,0
10,100,1495485.6,2
10,100,165710.2,0
10,100,1013636.4,2
10,100,1903671.0,3
10,100,1078706.0,2
10,100,1167154.3,2
10,100,1538393.3,3
10,100,1926580.5,3
10,100,1481087.3,2
10,100,878893.6,1
10,100,194218.0,0
10,100,71214.7,0
10,100,1553115.7,3
10,100,1897603.5,3
10,100,620095.3,1
10,100,225365.8,0
10,100,1478189.8,2
10,100,888018.2,1
10,100,1474862.7,2
10,100,292243.9,0
10,100,1472341.6,2
10,100,709182.6,1
10,100,1082401.6,2
10,100,1497778.4,2
10,100,1451964.6,2
10,100,752317.1,1
10,100,677791.1,1
10,100,669925.7,1
10,100,166976.8,0
10,100,116001.7,0
10,100,1418515.8,2
10,100,151436.7,0
10,100,1573586.4,3
10,100,1944512.7,3
10,100,346460.7,0
10,100,718591.9,1
10,100,814089.8,1
10,100,117753.3,0
10,100,1606735.7,3
10,100,723053.9,1
10,100,1000309.2,2
10,100,1149192.8,2
10,100,1012001.3,2
10,100,1730480.1,3
10,100,1707778.1,3
10,100,453845.2,0
10,100,261071.0,0
10,100,1615380.3,3
10,100,1886950.1,3
10,100,1526067.5,3
10,100,1462377.9,2
10,100,1243630.8,2
10,100,1794116.3,3
10,100,1692740.3,3
10,100,797258.8,1
10,100,784896.2,1
10,100,1509978.0,3
10,100,66205.8,0
10,100,1408146.9,2
10,100,74872.5,0
10,100,1891581.4,3
10,100,1478630.9,2
10,100,810422.5,1
10,100,1319695.7,2
10,100,638824.7,1
10,100,82762.0,0
10,100,1825626.4,3
10,100,781648.5,1
10,100,1426625.2,2
10,100,1886656.1,3
10,100,1725861.5,3
10,100,1677075.1,3
10,100,1813065.3,3
10,100,1725144.1,3
10,100,1060679.0,2
10,100,984834.5,1
10,100,1291264.5,2
10,100,1637538.0,3
10,100,91879.7,0
10,100,516592.7,1
10,100,182780.1,0
10,100,121665.5,0
10,100,835661.1,1
10,100,1573791.2,3
10,100,628357.5,1
